InstanceId,InstanceName,InstanceType,InstanceState,Region
i-06dcb7ecbe1ad02f5,,t3.small,running,us-east-1
i-0699a6417a2e839d5,Customer-API-Read-UAT,m5a.large,running,us-east-1
i-013bf1f19018822bd,OADashboard-API-Prod,m3.medium,running,us-east-1
i-0e6fd1b8a7745aa5b,,t3.medium,running,us-east-1
i-041a6403a27681887,,t3.medium,running,us-east-1
i-00b043ab94fd16103,ec2-use1-ap-pe-df-ecom-paym-workers-uat,t3.small,running,us-east-1
i-0076510da469d2632,OADashboard-API-v2-prod,m5a.large,running,us-east-1
i-052f61d8efc8b5e7f,ap-tandf-ops-github-actions-qe-runner-linux-x64-pe-use1-01,c6a.2xlarge,running,us-east-1
i-0e6574352be061480,ap-tandf-ops-github-actions-qe-runner-linux-x64-pe-use1-03,c6a.2xlarge,running,us-east-1
i-0d1696c72304c9cd3,ap-tandf-ops-github-actions-qe-runner-linux-x64-pe-use1-02,c6a.2xlarge,running,us-east-1
i-060280a541d5d517b,,m5a.large,running,us-east-1
i-0934344be8bd82b2c,ec2-use1-appe-df-orders-ecommerce-checkout-web-d,t3.small,running,us-east-1
i-05c6740a4f4351ce6,,m5a.large,running,us-east-1
i-099ce35d9a72d78f3,,m5a.large,running,us-east-1
i-09218bd6bed8b477b,,m5.xlarge,running,us-east-1
i-0306b35cde759b8d9,matching-engine,t3.medium,running,us-east-1
i-02a54af91f506044a,matching-engine,t3.medium,running,us-east-1
i-080aca13b3d3f81a7,df-orders-vendor-batch-processor,m5a.large,running,us-east-1
i-0801f3d9deb409e61,matching-engine,t3.medium,running,us-east-1
i-0fb46c1b7e0d283a2,,t3.micro,running,us-east-1
i-06cac3ba7c2add04c,ecs-use1-ap-ap-changeset-service-ubx2-api-u,m5a.large,running,us-east-1
i-0dd9e9a543a7cdce1,ecs-use1-ap-ap-search-entitlement-sync-ubx2-utility-u,t3.small,running,us-east-1
i-0a7e6eb55efa4b698,ec2-use1-ap-pe-proxy-api-service-ubx2-proxy-u-v2-2,m5a.large,running,us-east-1
i-0f54aefb1ce7cd1f3,eb-use1-ap-pe-quotes-client-oad-web-d-v2,m5a.large,running,us-east-1
i-016b07c6322d4a862,Products-Services-Routledge-API-uat,t3.small,running,us-east-1
i-018fabb452f58805f,Products-Services-Routledge-API-uat,t3.small,running,us-east-1
i-06602fd42f75b43f2,eb-use1-ap-pe-ems-service-ubx2-api-u,m5a.large,running,us-east-1
i-055c55e07a693ccd2,Payments-Service-Dev,t3.medium,running,us-east-1
i-067764921bdafa401,ecs-use1-ap-pe-entitlement-service-ubx2-api-p,m5a.large,running,us-east-1
i-00b5459ef278068f2,ecs-use1-ap-pe-entitlement-service-ubx2-api-p-r,m5a.large,running,us-east-1
i-0ba664a8cedb17a85,eb-use1-ap-pe-ems-service-ubx2-api-p-r,m5a.large,running,us-east-1
i-05dfe0eba33230c04,ec2-use1-appe-df-orders-ecommerce-checkout-web-p,t3.small,running,us-east-1
i-021c9bcef46e7dd46,use1appeanalytics-ECS-Instance-uat,t2.small,running,us-east-1
i-0c37028bfff158c40,cnb-sneaql-uat,t2.medium,running,us-east-1
i-0e77c122be5335bf2,ec2-use1-ap-pe-products-client-europa-website-mongodb-p2,t2.micro,running,us-east-1
i-051833fcde52fd3e3,eb-use1-ap-pe-changeset-srv-ubx2-api-p-d,m5a.large,running,us-east-1
i-06dd08181e9a467ee,matching-engine,t3.medium,running,us-east-1
i-0bdf086cbe021ab92,Ecommerce-Cart-Service-Prod-Blue,t3.small,running,us-east-1
i-0838676314056f7b2,ecs-use1-ap-pe-jobs-service-ubx2-api-u,m5a.large,running,us-east-1
i-0ed40b66e522f1f32,asg-ecs-use1-ap-pe-worker-changesetprocessor-ubx2-p,m5a.large,running,us-east-1
i-0b44591048dacc163,eb-use1-ap-pe-jobs-service-ubx2-api-p,m5a.large,running,us-east-1
i-07c1e50691fc2c81e,asg-content-client-ubx2-cms-u,m5a.large,running,us-east-1
i-0fd0631d3746b5805,,t3.small,running,us-east-1
i-0836c227813577387,identity-ui-ubx-prod,t2.medium,running,us-east-1
i-062a5ceb5af86f78f,product-license-listener-ec,t2.medium,running,us-east-1
i-068fb8c9c7f9cf383,ec2-use1-appe-df-orders-ecommerce-payment-web-u,t3.small,running,us-east-1
i-079c9abdbcd9f35c9,ecs-use1-ap-ap-notifications-service-ubx2-api-u,m5a.large,running,us-east-1
i-066190fe58ea11953,,t3.medium,running,us-east-1
i-0e7e4d3cad381cba3,OADashboard-API-v2-uat-RCA,t3a.medium,running,us-east-1
i-0e92b1e4a0dd24e9f,asg-content-client-ubx2-cms-p,m5a.large,running,us-east-1
i-061a3e010d1a0f89c,asg-content-client-ubx2-cms-p,m5a.large,running,us-east-1
i-0d683d6d0cb7a0026,matching-engine,t3.medium,running,us-east-1
i-074284b49125f3966,article-category-api,t3.micro,running,us-east-1
i-05cdedc00ccea30f3,sneaql-glue-dev,t2.medium,running,us-east-1
i-01f787a5838be5af8,ecs-use1-ap-pe-entitlement-service-ubx2-api-u,m5a.large,running,us-east-1
i-015716ff3fe664836,USE1APPEUBWv2ESMN2P,m5n.large,stopped,us-east-1
i-016f4cc4aec2c8694,USE1APPEUBWv2ESDN4P,m5dn.4xlarge,stopped,us-east-1
i-0c8b1b9acef481d0f,matching-engine,t3.medium,running,us-east-1
i-007b1f0414e75896d,matching-engine,t3.medium,running,us-east-1
i-04bccd715300b0983,df-orders-vendor-batch-processor,m5a.large,running,us-east-1
i-0837d630037de9c3a,,t3.micro,running,us-east-1
i-0e5d7bd4a2049edb2,ecs-use1-ap-pe-productbundle-service-ubx2-api-u,m5a.large,running,us-east-1
i-056b62ca282a3e241,Payments-Service-Prod,t3.small,running,us-east-1
i-050a9f152b2940d0f,ec2-use1-ap-pe-proxy-api-service-ubx2-proxy-u-v2,m5a.large,running,us-east-1
i-092c624962ef11ad2,eb-use1-ap-pe-changeset-srv-ubx2-api-p-d,m5a.large,running,us-east-1
i-0f61f39027a7dafe4,Informatica_Secure_Agent-sandbox,m5.4xlarge,running,us-east-1
i-0948d438aa0851284,Properties-API-Prod-2,t3.medium,running,us-east-1
i-04d67482f6a024732,Properties-API-Prod-1,t3.medium,running,us-east-1
i-05158e6dc3baf7c0d,Customer-API-Uat,t2.medium,running,us-east-1
i-01a51e99ce5a36bbe,ecs-use1-ap-pe-insights-service-ubx2-sushi-api-usage-reports-p,m5a.large,running,us-east-1
i-06fe2a5a561ddf918,ec2-use1-ap-pe-nginx-ubx2-p,t3.small,running,us-east-1
i-0ea0d296f37453283,OADashboard-API-UAT,m3.medium,running,us-east-1
i-07747e00e23801b46,ecs-use1-ap-pe-search-ubx2-api-p,m5a.large,running,us-east-1
i-0bb0302df35b34264,matching-engine,t3.medium,running,us-east-1
i-099f6041938948558,Informatica_Secure_Agent-dev,m5.4xlarge,running,us-east-1
i-0095b506e2ab71a25,ecs-use1-ap-pe-jobs-service-ubx2-api-p,m5a.large,running,us-east-1
i-0785e0d438a68a1c9,Ecommerce-Cart-Service-Prod-Blue,t3.small,running,us-east-1
i-02ade063586eec58d,ecs-use1-ap-pe-notification-pipeline-service-ubx2-api-p,m5a.large,running,us-east-1
i-0927f950483236529,entitlement-management-service-v2-prod,m5a.large,running,us-east-1
i-0fd77e3f7db16b956,asg-ecs-use1-ap-pe-worker-changesetprocessor-ubx2-p,m5a.large,running,us-east-1
i-0b6086ef479c0eb21,OADashboard-API-v2-qa,m5a.large,running,us-east-1
i-0cfc775dfbaa830c7,asg-content-client-ubx2-cms-u,m5a.large,running,us-east-1
i-03b3a0a35d171b6a3,sneaql-glue-prod,t2.medium,running,us-east-1
